Feature,Lasso_Coefficient,Abs_Coefficient
var1,2.433023288833079,2.433023288833079
var53,-0.8865536882662968,0.8865536882662968
var43,0.6404345351027451,0.6404345351027451
var46,-0.5601907773077248,0.5601907773077248
var4,0.4878066849307456,0.4878066849307456
var3,0.4653937289136522,0.4653937289136522
var42,0.39757827798339074,0.39757827798339074
var39,-0.38171878592784897,0.38171878592784897
var29,0.32991367070366573,0.32991367070366573
var37,-0.2941962752106886,0.2941962752106886
var58,0.28401850205884327,0.28401850205884327
var50,0.27473617282221297,0.27473617282221297
var52,0.23220429434365794,0.23220429434365794
var44,-0.20434681346364056,0.20434681346364056
var24,0.19755621381916016,0.19755621381916016
var30,-0.1582486679018233,0.1582486679018233
var38,-0.15028072742334767,0.15028072742334767
var14,0.14452521368104013,0.14452521368104013
var47,0.11231258430140623,0.11231258430140623
var2,0.09906315542032992,0.09906315542032992
var45,-0.061827789206184786,0.061827789206184786
var32,0.045285316768848824,0.045285316768848824
var6,-0.03376642064995896,0.03376642064995896
var25,-0.009765702741865395,0.009765702741865395
var59,0.007942420368607608,0.007942420368607608
