Feature,Importance
var1,0.22966440539585986
var4,0.08706840457479435
var42,0.07620270807002233
var39,0.0608084157333928
var3,0.05437059384298471
var43,0.052633340584303794
var38,0.04708784513816701
var14,0.04461671491653988
var52,0.0441303606750242
var53,0.0401214130928271
var46,0.03614089872331944
var44,0.03299219732434251
var58,0.032826755214517125
var29,0.028259046939924808
var30,0.022709073982957653
var37,0.021349811783718194
var59,0.0210825558500196
var50,0.020756383528061154
var32,0.01853887461586089
var47,0.018181148673148365
var6,0.010459051340214244
